231,325,13
343,384,13
521,163,7
448,359,16
355,151,7
167,133,7
98,91,7
605,392,16
444,320,13
30,86,7
356,293,11
309,281,11
423,142,6
420,114,5
391,161,8
190,105,7
316,326,11
236,285,12
447,147,7
463,137,7
216,274,10
209,84,6
268,379,14
559,138,7
130,159,7
391,272,9
424,160,7
69,91,7
163,55,6
143,78,7
455,128,6
127,144,8
319,359,14
207,421,15
426,124,7
538,373,15
455,275,10
94,83,6
159,66,6
239,110,6
492,138,8
147,99,7
218,124,7
458,161,8
477,183,7
411,296,12
438,130,7
483,153,7
385,136,7
127,87,7
517,312,12
176,90,7
384,352,14
123,107,7
532,140,7
174,117,7
432,177,7
89,119,8
